vl,pl,vr,pr
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
0.0,0,1.64,68
